PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 4,2017,21,1.19756,1.49808,411,326,,586,134,83,1540,267,102798
HHS Regions,Region 4,2017,22,0.967651,1.18443,365,226,,415,105,83,1194,257,100808
HHS Regions,Region 4,2017,23,0.878384,1.0708,341,225,,373,102,67,1108,253,103474
HHS Regions,Region 4,2017,24,0.721797,1.0178,310,227,,355,95,72,1059,253,104048
HHS Regions,Region 4,2017,25,0.644565,0.852866,272,168,,298,67,49,854,247,100133
HHS Regions,Region 4,2017,26,0.603647,0.807608,225,135,,276,55,58,749,229,92743
HHS Regions,Region 4,2017,27,0.637539,0.936131,231,189,,307,63,56,846,239,90372
HHS Regions,Region 4,2017,28,0.593663,0.763305,215,147,,291,62,43,758,232,99305
HHS Regions,Region 4,2017,29,0.489899,0.716205,198,123,,225,61,46,653,227,91175
HHS Regions,Region 4,2017,30,0.536533,0.699615,187,130,,226,58,38,639,232,91336
HHS Regions,Region 4,2017,31,0.476357,0.685362,185,143,,206,52,46,632,226,92214
HHS Regions,Region 4,2017,32,0.483647,0.846747,237,148,,298,61,54,798,228,94243
HHS Regions,Region 4,2017,33,0.674289,1.0912,327,205,,442,61,63,1098,224,100623
HHS Regions,Region 4,2017,34,0.782784,1.37113,410,266,,707,80,44,1507,237,109909
HHS Regions,Region 4,2017,35,1.11294,1.52405,431,275,,807,90,65,1668,227,109445
HHS Regions,Region 4,2017,36,1.17628,1.45069,467,269,,601,114,94,1545,243,106501
HHS Regions,Region 4,2017,37,0.937823,1.35773,439,270,,488,112,100,1409,238,103776
HHS Regions,Region 4,2017,38,0.904242,1.31049,451,281,,540,108,103,1483,238,113164
HHS Regions,Region 4,2017,39,1.02859,1.48617,505,259,,644,122,107,1637,233,110149
HHS Regions,Region 4,2017,40,1.1608,1.57438,809,468,,914,171,144,2506,368,159174
HHS Regions,Region 4,2017,41,1.25971,1.63024,849,528,,930,195,143,2645,376,162246
HHS Regions,Region 4,2017,42,1.26284,1.6445,766,533,,953,221,166,2639,375,160474
HHS Regions,Region 4,2017,43,1.59757,1.97313,973,629,,1239,230,192,3263,382,165372
HHS Regions,Region 4,2017,44,1.7931,2.18995,1012,721,,1372,283,193,3581,380,163520
HHS Regions,Region 4,2017,45,2.04037,2.55073,1393,815,,1601,302,203,4314,392,169128
HHS Regions,Region 4,2017,46,2.25324,2.85841,1584,1000,,1775,348,239,4946,391,173033
HHS Regions,Region 4,2017,47,2.5431,3.29889,1592,918,,1380,388,307,4585,384,138986
HHS Regions,Region 4,2017,48,2.23911,2.94551,1515,1200,,1636,483,318,5152,385,174910
HHS Regions,Region 4,2017,49,2.53383,3.25988,1378,1071,,1850,460,318,5077,388,155742
HHS Regions,Region 4,2017,50,3.11804,4.11862,1690,1435,,2428,577,392,6522,386,158354
HHS Regions,Region 4,2017,51,4.54891,6.35319,2389,2403,,3323,1037,730,9882,374,155544
HHS Regions,Region 4,2017,52,5.43124,7.49851,2488,2713,,2565,1352,960,10078,380,134400
HHS Regions,Region 4,2018,1,5.38848,7.4316,2237,3374,,2896,1599,1110,11216,386,150923
HHS Regions,Region 4,2018,2,6.67238,8.6951,2483,4324,,5034,1986,1345,15172,391,174489
HHS Regions,Region 4,2018,3,8.19479,10.5272,3226,4724,,6176,1898,1347,17371,393,165011
HHS Regions,Region 4,2018,4,9.25967,10.9889,3214,5004,,8847,2238,1492,20795,402,189236
HHS Regions,Region 4,2018,5,9.25796,11.2464,3144,4963,,9794,2146,1311,21358,401,189909
HHS Regions,Region 4,2018,6,8.99113,11.2266,3455,4735,,10332,1916,1208,21646,397,192810
HHS Regions,Region 4,2018,7,6.9348,8.34274,2537,3319,,6909,1520,945,15230,389,182554
HHS Regions,Region 4,2018,8,4.7387,5.64508,1733,2202,,3686,934,623,9178,386,162584
HHS Regions,Region 4,2018,9,3.08716,3.58124,1158,1278,,2158,582,349,5525,381,154276
HHS Regions,Region 4,2018,10,2.71312,3.15306,1099,1036,,1847,447,284,4713,377,149474
HHS Regions,Region 4,2018,11,2.42335,2.81503,1000,997,,1552,429,260,4238,382,150549
HHS Regions,Region 4,2018,12,2.04615,2.43305,864,842,,1386,360,250,3702,372,152155
HHS Regions,Region 4,2018,13,2.05202,2.35707,846,786,,1236,354,233,3455,367,146580
HHS Regions,Region 4,2018,14,1.77038,2.07034,819,698,,1068,313,189,3087,369,149106
HHS Regions,Region 4,2018,15,1.50428,1.88932,780,640,,955,250,186,2811,352,148784
HHS Regions,Region 4,2018,16,1.29034,1.64683,694,525,,958,199,129,2505,358,152110
HHS Regions,Region 4,2018,17,1.20905,1.52975,619,487,,890,174,112,2282,351,149175
HHS Regions,Region 4,2018,18,1.18925,1.55092,640,419,,840,178,121,2198,344,141722
HHS Regions,Region 4,2018,19,1.00802,1.39848,593,364,,700,139,122,1918,328,137149
HHS Regions,Region 4,2018,20,0.958498,1.3661,613,375,,659,120,113,1880,333,137618
HHS Regions,Region 4,2018,21,0.942649,1.29338,549,322,,551,133,102,1657,318,128114
HHS Regions,Region 4,2018,22,0.867806,1.32707,584,289,,512,118,98,1601,305,120642
HHS Regions,Region 4,2018,23,0.779317,1.07082,483,265,,358,116,82,1304,304,121776
HHS Regions,Region 4,2018,24,0.646489,0.931069,401,241,,316,95,97,1150,308,123514
HHS Regions,Region 4,2018,25,0.605302,0.86876,358,201,,300,93,71,1023,308,117754
HHS Regions,Region 4,2018,26,0.479999,0.832137,296,195,,260,83,76,910,270,109357
HHS Regions,Region 4,2018,27,0.602885,0.851977,338,199,,312,72,60,981,303,115144
HHS Regions,Region 4,2018,28,0.579313,0.775795,320,205,,322,71,73,991,301,127740
HHS Regions,Region 4,2018,29,0.474625,0.704022,283,213,,267,75,41,879,296,124854
HHS Regions,Region 4,2018,30,0.523793,0.783605,322,220,,289,63,60,954,291,121745
HHS Regions,Region 4,2018,31,0.487062,0.730126,280,215,,265,81,41,882,288,120801
HHS Regions,Region 4,2018,32,0.505419,0.776145,291,229,,297,64,49,930,289,119823
HHS Regions,Region 4,2018,33,0.712131,1.11868,488,293,,499,85,59,1424,290,127293
HHS Regions,Region 4,2018,34,0.764426,1.29667,571,335,,634,111,63,1714,290,132185
HHS Regions,Region 4,2018,35,0.868635,1.3464,573,379,,667,119,80,1818,291,135027
HHS Regions,Region 4,2018,36,1.09434,1.55141,681,448,,693,147,107,2076,297,133814
HHS Regions,Region 4,2018,37,0.996968,1.43017,631,424,,662,131,122,1970,286,137746
HHS Regions,Region 4,2018,38,1.00423,1.47101,703,376,,664,132,92,1967,284,133718
HHS Regions,Region 4,2018,39,1.06508,1.51113,712,395,,714,120,79,2020,287,133675
HHS Regions,Region 4,2018,40,1.23232,1.46748,1381,893,,1488,253,188,4203,530,286410
HHS Regions,Region 4,2018,41,1.35412,1.60003,1498,972,,1423,312,225,4430,539,276870
HHS Regions,Region 4,2018,42,1.36423,1.69326,1569,1122,,1646,377,231,4945,552,292041
HHS Regions,Region 4,2018,43,1.64636,1.9878,1747,1312,,1979,454,310,5802,565,291881
HHS Regions,Region 4,2018,44,1.81286,2.18137,1996,1395,,2263,424,297,6375,556,292247
HHS Regions,Region 4,2018,45,1.91869,2.33261,2162,1463,,2327,446,283,6681,560,286417
HHS Regions,Region 4,2018,46,2.0074,2.56819,2129,1504,,2281,486,299,6699,556,260845
HHS Regions,Region 4,2018,47,2.30123,2.89865,2575,1487,,2009,550,338,6959,556,240077
HHS Regions,Region 4,2018,48,2.15687,2.72006,2540,1956,,2505,690,445,8136,564,299111
HHS Regions,Region 4,2018,49,2.20571,2.65798,2338,1776,,2499,604,406,7623,561,286797
HHS Regions,Region 4,2018,50,2.74146,3.36763,2867,1947,,3328,709,437,9288,554,275802
HHS Regions,Region 4,2018,51,3.23903,3.95375,3225,2448,,3952,867,573,11065,543,279861
HHS Regions,Region 4,2018,52,4.07844,4.81898,3893,3219,,3713,1252,1011,13088,541,271593
HHS Regions,Region 4,2019,1,3.35579,3.92071,3059,3299,,2611,1318,1110,11397,560,290687
HHS Regions,Region 4,2019,2,2.67241,3.08883,2073,2701,,2514,1023,661,8972,562,290466
HHS Regions,Region 4,2019,3,3.05541,3.4542,2076,2611,,3701,933,558,9879,552,286000
HHS Regions,Region 4,2019,4,4.06492,4.43788,2508,3125,,4772,1045,566,12016,553,270760
HHS Regions,Region 4,2019,5,4.81425,5.50669,2928,3996,,6934,1296,817,15971,557,290029
HHS Regions,Region 4,2019,6,5.98463,6.87615,4125,5442,,10296,1875,1228,22966,562,333995
HHS Regions,Region 4,2019,7,5.73582,6.73886,3961,5357,,8895,1907,1282,21402,564,317591
HHS Regions,Region 4,2019,8,5.09036,5.95261,3501,4654,,7323,1605,1099,18182,555,305446
HHS Regions,Region 4,2019,9,4.07313,4.76358,2674,3570,,5704,1309,856,14113,555,296269
HHS Regions,Region 4,2019,10,3.71128,4.23031,2450,3141,,4587,1145,772,12095,552,285913
HHS Regions,Region 4,2019,11,3.35757,3.82846,2562,2904,,4220,1101,746,11533,552,301244
HHS Regions,Region 4,2019,12,2.96929,3.2537,2163,2344,,3534,820,634,9495,548,291822
HHS Regions,Region 4,2019,13,2.44355,2.90786,2047,2014,,2929,788,500,8278,543,284677
HHS Regions,Region 4,2019,14,2.27731,2.53654,1834,1757,,2578,643,490,7302,544,287873
HHS Regions,Region 4,2019,15,1.86775,2.09597,1653,1511,,2173,519,409,6265,545,298907
HHS Regions,Region 4,2019,16,1.60937,1.80555,1496,1107,,1671,388,329,4991,538,276426
HHS Regions,Region 4,2019,17,1.45951,1.72214,1444,1120,,1673,429,315,4981,532,289233
HHS Regions,Region 4,2019,18,1.35593,1.53796,1355,1003,,1512,339,268,4477,527,291100
HHS Regions,Region 4,2019,19,1.26584,1.43318,1175,869,,1393,288,235,3960,520,276309
HHS Regions,Region 4,2019,20,1.2681,1.37856,1087,850,,1299,306,219,3761,518,272820
HHS Regions,Region 4,2019,21,1.06614,1.23152,1037,745,,1158,249,210,3399,502,276001
HHS Regions,Region 4,2019,22,1.15371,1.22051,1061,712,,1079,259,214,3325,502,272426
HHS Regions,Region 4,2019,23,0.878735,1.00424,791,608,,859,223,192,2673,498,266171
HHS Regions,Region 4,2019,24,0.785381,0.920684,712,604,,713,177,139,2345,491,254702
HHS Regions,Region 4,2019,25,0.657533,0.802218,599,490,,657,194,129,2069,486,257910
HHS Regions,Region 4,2019,26,0.650987,0.738934,576,453,,584,168,115,1896,481,256586
HHS Regions,Region 4,2019,27,0.633585,0.692002,465,437,,540,141,101,1684,474,243352
HHS Regions,Region 4,2019,28,0.603001,0.624976,470,376,,531,135,107,1619,477,259050
HHS Regions,Region 4,2019,29,0.561348,0.608024,429,389,,497,119,116,1550,481,254924
HHS Regions,Region 4,2019,30,0.602296,0.64966,462,406,,493,168,121,1650,483,253979
HHS Regions,Region 4,2019,31,0.61299,0.664359,524,421,,507,144,91,1687,486,253929
HHS Regions,Region 4,2019,32,0.597699,0.67043,506,453,,505,150,107,1721,484,256701
HHS Regions,Region 4,2019,33,0.713191,0.871127,705,515,,821,168,100,2309,483,265059
HHS Regions,Region 4,2019,34,0.893811,1.07546,925,620,,1083,146,112,2886,485,268350
HHS Regions,Region 4,2019,35,1.04039,1.19058,1013,715,,1131,190,149,3198,481,268608
HHS Regions,Region 4,2019,36,1.3069,1.38064,1244,790,,1261,234,153,3682,483,266687
HHS Regions,Region 4,2019,37,1.22886,1.32128,1084,854,,1285,264,174,3661,491,277079
HHS Regions,Region 4,2019,38,1.26698,1.40018,1165,861,,1352,259,188,3825,485,273180
HHS Regions,Region 4,2019,39,1.33481,1.55826,1305,958,,1460,308,210,4241,481,272162
