PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New Hampshire,2010,40,X,0.0759301,X,X,X,X,X,X,3,21,3951
States,New Jersey,2010,40,X,2.31534,X,X,X,X,X,X,163,23,7040
States,New Mexico,2010,40,X,2.13191,X,X,X,X,X,X,160,23,7505
States,New York,2010,40,X,0.26299,X,X,X,X,X,X,37,91,14069
States,North Carolina,2010,40,X,0.53143,X,X,X,X,X,X,134,74,25215
States,North Dakota,2010,40,X,0.671355,X,X,X,X,X,X,42,19,6256
States,Ohio,2010,40,X,0.228257,X,X,X,X,X,X,29,36,12705
States,Oklahoma,2010,40,X,0.624179,X,X,X,X,X,X,19,17,3044
States,Oregon,2010,40,X,0.551334,X,X,X,X,X,X,37,20,6711
States,Pennsylvania,2010,40,X,0.703292,X,X,X,X,X,X,122,64,17347
States,Rhode Island,2010,40,X,0.235036,X,X,X,X,X,X,15,21,6382
States,South Carolina,2010,40,X,0.446127,X,X,X,X,X,X,33,25,7397
States,South Dakota,2010,40,X,1.10275,X,X,X,X,X,X,63,18,5713
States,Tennessee,2010,40,X,0.274655,X,X,X,X,X,X,32,52,11651
States,Texas,2010,40,X,2.06514,X,X,X,X,X,X,1050,98,50844
States,Utah,2010,40,X,0.747696,X,X,X,X,X,X,43,13,5751
States,Vermont,2010,40,X,1.47641,X,X,X,X,X,X,41,10,2777
States,Virginia,2010,40,X,1.14343,X,X,X,X,X,X,660,81,57721
States,Washington,2010,40,X,0.510041,X,X,X,X,X,X,16,17,3137
States,West Virginia,2010,40,X,1.59741,X,X,X,X,X,X,143,34,8952
States,Wisconsin,2010,40,X,0.465022,X,X,X,X,X,X,23,44,4946
States,Wyoming,2010,40,X,0.632911,X,X,X,X,X,X,32,28,5056
States,New York City,2010,40,X,1.18222,X,X,X,X,X,X,1059,40,89577
States,Alabama,2010,41,X,2.05999,X,X,X,X,X,X,239,31,11602
States,Alaska,2010,41,X,1.12827,X,X,X,X,X,X,19,7,1684
States,Arizona,2010,41,X,0.749939,X,X,X,X,X,X,183,49,24402
States,Arkansas,2010,41,X,0.674157,X,X,X,X,X,X,18,14,2670
States,California,2010,41,X,2.15266,X,X,X,X,X,X,742,122,34469
States,Colorado,2010,41,X,0.628621,X,X,X,X,X,X,115,12,18294
States,Connecticut,2010,41,X,0.238095,X,X,X,X,X,X,9,15,3780
States,Delaware,2010,41,X,0.36855,X,X,X,X,X,X,15,13,4070
States,District of Columbia,2010,41,X,2.89079,X,X,X,X,X,X,81,4,2802
States,Florida,2010,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,41,X,1.71307,X,X,X,X,X,X,702,63,40979
States,Hawaii,2010,41,X,1.75246,X,X,X,X,X,X,32,19,1826
States,Idaho,2010,41,X,1.45798,X,X,X,X,X,X,68,12,4664
States,Illinois,2010,41,X,1.45089,X,X,X,X,X,X,600,76,41354
States,Indiana,2010,41,X,0.653137,X,X,X,X,X,X,84,45,12861
States,Iowa,2010,41,X,0.860956,X,X,X,X,X,X,20,7,2323
States,Kansas,2010,41,X,0.57749,X,X,X,X,X,X,49,40,8485
States,Kentucky,2010,41,X,0.223975,X,X,X,X,X,X,23,14,10269
States,Louisiana,2010,41,X,2.04776,X,X,X,X,X,X,325,39,15871
States,Maine,2010,41,X,0.434855,X,X,X,X,X,X,26,29,5979
States,Maryland,2010,41,X,2.09879,X,X,X,X,X,X,99,17,4717
States,Massachusetts,2010,41,X,0.887866,X,X,X,X,X,X,216,54,24328
States,Michigan,2010,41,X,0.585011,X,X,X,X,X,X,95,53,16239
States,Minnesota,2010,41,X,0.541293,X,X,X,X,X,X,35,18,6466
States,Mississippi,2010,41,X,2.97075,X,X,X,X,X,X,523,45,17605
States,Missouri,2010,41,X,0.930521,X,X,X,X,X,X,90,32,9672
States,Montana,2010,41,X,0.180963,X,X,X,X,X,X,5,7,2763
States,Nebraska,2010,41,X,2.73532,X,X,X,X,X,X,68,12,2486
States,Nevada,2010,41,X,1.63633,X,X,X,X,X,X,187,33,11428
States,New Hampshire,2010,41,X,0.0924642,X,X,X,X,X,X,4,22,4326
States,New Jersey,2010,41,X,2.47836,X,X,X,X,X,X,189,24,7626
States,New Mexico,2010,41,X,1.9635,X,X,X,X,X,X,142,22,7232
States,New York,2010,41,X,0.369729,X,X,X,X,X,X,47,89,12712
States,North Carolina,2010,41,X,0.53653,X,X,X,X,X,X,141,77,26280
States,North Dakota,2010,41,X,0.721961,X,X,X,X,X,X,43,19,5956
States,Ohio,2010,41,X,0.361628,X,X,X,X,X,X,55,44,15209
States,Oklahoma,2010,41,X,0.958678,X,X,X,X,X,X,29,17,3025
States,Oregon,2010,41,X,0.624076,X,X,X,X,X,X,38,19,6089
States,Pennsylvania,2010,41,X,0.910726,X,X,X,X,X,X,157,64,17239
States,Rhode Island,2010,41,X,0.201545,X,X,X,X,X,X,12,21,5954
States,South Carolina,2010,41,X,0.765523,X,X,X,X,X,X,54,25,7054
States,South Dakota,2010,41,X,0.793794,X,X,X,X,X,X,44,18,5543
States,Tennessee,2010,41,X,0.499492,X,X,X,X,X,X,59,50,11812
States,Texas,2010,41,X,2.09394,X,X,X,X,X,X,1061,97,50670
States,Utah,2010,41,X,0.410939,X,X,X,X,X,X,29,19,7057
States,Vermont,2010,41,X,1.35777,X,X,X,X,X,X,40,10,2946
States,Virginia,2010,41,X,1.23653,X,X,X,X,X,X,754,83,60977
States,Washington,2010,41,X,1.04007,X,X,X,X,X,X,34,16,3269
States,West Virginia,2010,41,X,1.58968,X,X,X,X,X,X,170,34,10694
States,Wisconsin,2010,41,X,0.581832,X,X,X,X,X,X,31,48,5328
States,Wyoming,2010,41,X,0.440621,X,X,X,X,X,X,21,27,4766
States,New York City,2010,41,X,1.4023,X,X,X,X,X,X,1258,41,89710
States,Alabama,2010,42,X,1.94224,X,X,X,X,X,X,232,33,11945
States,Alaska,2010,42,X,0.586042,X,X,X,X,X,X,11,7,1877
States,Arizona,2010,42,X,0.953365,X,X,X,X,X,X,240,52,25174
States,Arkansas,2010,42,X,0.514217,X,X,X,X,X,X,17,16,3306
States,California,2010,42,X,2.24173,X,X,X,X,X,X,766,126,34170
States,Colorado,2010,42,X,0.80402,X,X,X,X,X,X,152,12,18905
States,Connecticut,2010,42,X,0.374158,X,X,X,X,X,X,15,16,4009
States,Delaware,2010,42,X,0.337025,X,X,X,X,X,X,14,14,4154
States,District of Columbia,2010,42,X,2.41042,X,X,X,X,X,X,74,4,3070
States,Florida,2010,42,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,42,X,2.01249,X,X,X,X,X,X,793,62,39404
States,Hawaii,2010,42,X,0.755124,X,X,X,X,X,X,14,19,1854
States,Idaho,2010,42,X,1.40814,X,X,X,X,X,X,64,11,4545
States,Illinois,2010,42,X,1.56607,X,X,X,X,X,X,644,76,41122
States,Indiana,2010,42,X,0.584346,X,X,X,X,X,X,76,45,13006
States,Iowa,2010,42,X,0.407,X,X,X,X,X,X,10,8,2457
States,Kansas,2010,42,X,0.47975,X,X,X,X,X,X,43,41,8963
States,Kentucky,2010,42,X,0.156152,X,X,X,X,X,X,25,14,16010
States,Louisiana,2010,42,X,2.42974,X,X,X,X,X,X,402,47,16545
States,Maine,2010,42,X,0.421743,X,X,X,X,X,X,27,30,6402
States,Maryland,2010,42,X,1.45439,X,X,X,X,X,X,173,20,11895
States,Massachusetts,2010,42,X,0.744806,X,X,X,X,X,X,209,53,28061
States,Michigan,2010,42,X,0.524238,X,X,X,X,X,X,81,50,15451
States,Minnesota,2010,42,X,0.521162,X,X,X,X,X,X,33,17,6332
States,Mississippi,2010,42,X,2.98141,X,X,X,X,X,X,534,45,17911
States,Missouri,2010,42,X,0.98989,X,X,X,X,X,X,94,32,9496
States,Montana,2010,42,X,0.185874,X,X,X,X,X,X,5,7,2690
States,Nebraska,2010,42,X,3.31103,X,X,X,X,X,X,94,14,2839
States,Nevada,2010,42,X,1.5086,X,X,X,X,X,X,171,34,11335
States,New Hampshire,2010,42,X,0.29361,X,X,X,X,X,X,17,29,5790
States,New Jersey,2010,42,X,2.24812,X,X,X,X,X,X,191,25,8496
States,New Mexico,2010,42,X,1.67486,X,X,X,X,X,X,126,21,7523
States,New York,2010,42,X,0.362121,X,X,X,X,X,X,53,95,14636
States,North Carolina,2010,42,X,0.457107,X,X,X,X,X,X,116,71,25377
States,North Dakota,2010,42,X,0.567477,X,X,X,X,X,X,32,20,5639
States,Ohio,2010,42,X,0.52356,X,X,X,X,X,X,84,47,16044
States,Oklahoma,2010,42,X,2.07039,X,X,X,X,X,X,70,18,3381
States,Oregon,2010,42,X,0.484848,X,X,X,X,X,X,36,19,7425
States,Pennsylvania,2010,42,X,0.881081,X,X,X,X,X,X,161,64,18273
States,Rhode Island,2010,42,X,0.362845,X,X,X,X,X,X,25,21,6890
States,South Carolina,2010,42,X,0.38943,X,X,X,X,X,X,28,22,7190
States,South Dakota,2010,42,X,0.791023,X,X,X,X,X,X,43,18,5436
States,Tennessee,2010,42,X,0.49955,X,X,X,X,X,X,61,50,12211
States,Texas,2010,42,X,2.10072,X,X,X,X,X,X,1090,98,51887
States,Utah,2010,42,X,0.440583,X,X,X,X,X,X,36,20,8171
States,Vermont,2010,42,X,1.48221,X,X,X,X,X,X,45,11,3036
States,Virginia,2010,42,X,1.22545,X,X,X,X,X,X,758,84,61855
States,Washington,2010,42,X,0.904393,X,X,X,X,X,X,28,15,3096
States,West Virginia,2010,42,X,1.52672,X,X,X,X,X,X,134,33,8777
States,Wisconsin,2010,42,X,1.18822,X,X,X,X,X,X,69,43,5807
States,Wyoming,2010,42,X,0.441798,X,X,X,X,X,X,23,28,5206
States,New York City,2010,42,X,1.29124,X,X,X,X,X,X,1175,42,90998
States,Alabama,2010,43,X,2.2765,X,X,X,X,X,X,274,36,12036
States,Alaska,2010,43,X,0.967742,X,X,X,X,X,X,18,8,1860
States,Arizona,2010,43,X,0.888804,X,X,X,X,X,X,233,52,26215
States,Arkansas,2010,43,X,0.41365,X,X,X,X,X,X,12,14,2901
States,California,2010,43,X,1.91748,X,X,X,X,X,X,666,130,34733
States,Colorado,2010,43,X,0.909658,X,X,X,X,X,X,175,11,19238
States,Connecticut,2010,43,X,0.333542,X,X,X,X,X,X,16,22,4797
States,Delaware,2010,43,X,0.460494,X,X,X,X,X,X,19,14,4126
States,District of Columbia,2010,43,X,3.11632,X,X,X,X,X,X,101,4,3241
States,Florida,2010,43,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,43,X,2.38747,X,X,X,X,X,X,881,60,36901
States,Hawaii,2010,43,X,1.57434,X,X,X,X,X,X,27,18,1715
States,Idaho,2010,43,X,1.28007,X,X,X,X,X,X,58,12,4531
States,Illinois,2010,43,X,1.45762,X,X,X,X,X,X,623,79,42741
States,Indiana,2010,43,X,0.581084,X,X,X,X,X,X,76,45,13079
States,Iowa,2010,43,X,0.183225,X,X,X,X,X,X,9,10,4912
States,Kansas,2010,43,X,0.538071,X,X,X,X,X,X,53,43,9850
States,Kentucky,2010,43,X,0.150108,X,X,X,X,X,X,27,15,17987
States,Louisiana,2010,43,X,1.92854,X,X,X,X,X,X,326,39,16904
States,Maine,2010,43,X,0.338409,X,X,X,X,X,X,22,30,6501
States,Maryland,2010,43,X,1.26769,X,X,X,X,X,X,146,20,11517
States,Massachusetts,2010,43,X,0.783721,X,X,X,X,X,X,228,52,29092
States,Michigan,2010,43,X,0.921435,X,X,X,X,X,X,152,51,16496
States,Minnesota,2010,43,X,0.637716,X,X,X,X,X,X,42,18,6586
States,Mississippi,2010,43,X,3.14804,X,X,X,X,X,X,538,47,17090
States,Missouri,2010,43,X,0.959713,X,X,X,X,X,X,91,31,9482
States,Montana,2010,43,X,0.0363901,X,X,X,X,X,X,1,7,2748
States,Nebraska,2010,43,X,2.05761,X,X,X,X,X,X,60,14,2916
States,Nevada,2010,43,X,2.14451,X,X,X,X,X,X,241,34,11238
States,New Hampshire,2010,43,X,0.178795,X,X,X,X,X,X,10,29,5593
States,New Jersey,2010,43,X,2.79286,X,X,X,X,X,X,216,23,7734
States,New Mexico,2010,43,X,2.35498,X,X,X,X,X,X,190,24,8068
States,New York,2010,43,X,0.358981,X,X,X,X,X,X,53,98,14764
States,North Carolina,2010,43,X,0.511163,X,X,X,X,X,X,136,74,26606
States,North Dakota,2010,43,X,0.339239,X,X,X,X,X,X,18,20,5306
States,Ohio,2010,43,X,0.329518,X,X,X,X,X,X,57,49,17298
States,Oklahoma,2010,43,X,1.67073,X,X,X,X,X,X,48,18,2873
States,Oregon,2010,43,X,0.751771,X,X,X,X,X,X,52,22,6917
States,Pennsylvania,2010,43,X,0.72118,X,X,X,X,X,X,133,65,18442
States,Rhode Island,2010,43,X,0.322675,X,X,X,X,X,X,22,21,6818
States,South Carolina,2010,43,X,0.418354,X,X,X,X,X,X,31,22,7410
States,South Dakota,2010,43,X,0.801311,X,X,X,X,X,X,44,19,5491
States,Tennessee,2010,43,X,0.401638,X,X,X,X,X,X,51,52,12698
States,Texas,2010,43,X,2.20655,X,X,X,X,X,X,1117,96,50622
States,Utah,2010,43,X,0.755957,X,X,X,X,X,X,46,15,6085
States,Vermont,2010,43,X,1.44393,X,X,X,X,X,X,47,11,3255
States,Virginia,2010,43,X,1.26902,X,X,X,X,X,X,763,83,60125
States,Washington,2010,43,X,0.95511,X,X,X,X,X,X,30,15,3141
States,West Virginia,2010,43,X,1.81171,X,X,X,X,X,X,173,32,9549
States,Wisconsin,2010,43,X,1.01049,X,X,X,X,X,X,53,46,5245
States,Wyoming,2010,43,X,0.490305,X,X,X,X,X,X,22,27,4487
States,New York City,2010,43,X,1.30236,X,X,X,X,X,X,1207,41,92678
States,Alabama,2010,44,X,2.83371,X,X,X,X,X,X,342,35,12069
States,Alaska,2010,44,X,0.683851,X,X,X,X,X,X,13,8,1901
States,Arizona,2010,44,X,1.18573,X,X,X,X,X,X,312,55,26313
States,Arkansas,2010,44,X,1.09028,X,X,X,X,X,X,57,19,5228
States,California,2010,44,X,2.52326,X,X,X,X,X,X,887,131,35153
States,Colorado,2010,44,X,0.971705,X,X,X,X,X,X,193,12,19862
States,Connecticut,2010,44,X,0.396743,X,X,X,X,X,X,19,20,4789
States,Delaware,2010,44,X,0.222332,X,X,X,X,X,X,9,14,4048
States,District of Columbia,2010,44,X,2.99118,X,X,X,X,X,X,95,4,3176
States,Florida,2010,44,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,44,X,2.65614,X,X,X,X,X,X,1033,62,38891
States,Hawaii,2010,44,X,1.77398,X,X,X,X,X,X,27,18,1522
States,Idaho,2010,44,X,1.82724,X,X,X,X,X,X,88,13,4816
States,Illinois,2010,44,X,1.4893,X,X,X,X,X,X,625,79,41966
States,Indiana,2010,44,X,0.842254,X,X,X,X,X,X,107,42,12704
States,Iowa,2010,44,X,0.35878,X,X,X,X,X,X,18,10,5017
States,Kansas,2010,44,X,0.481289,X,X,X,X,X,X,49,43,10181
States,Kentucky,2010,44,X,0.289678,X,X,X,X,X,X,38,15,13118
States,Louisiana,2010,44,X,2.80934,X,X,X,X,X,X,492,39,17513
States,Maine,2010,44,X,0.176471,X,X,X,X,X,X,9,29,5100
States,Maryland,2010,44,X,1.45386,X,X,X,X,X,X,147,20,10111
States,Massachusetts,2010,44,X,0.812421,X,X,X,X,X,X,225,53,27695
States,Michigan,2010,44,X,0.863417,X,X,X,X,X,X,138,51,15983
States,Minnesota,2010,44,X,0.805802,X,X,X,X,X,X,50,18,6205
States,Mississippi,2010,44,X,3.3557,X,X,X,X,X,X,550,45,16390
States,Missouri,2010,44,X,1.16768,X,X,X,X,X,X,100,31,8564
States,Montana,2010,44,X,0.0405186,X,X,X,X,X,X,1,7,2468
States,Nebraska,2010,44,X,0.376712,X,X,X,X,X,X,11,14,2920
States,Nevada,2010,44,X,1.76761,X,X,X,X,X,X,204,35,11541
States,New Hampshire,2010,44,X,0.294372,X,X,X,X,X,X,17,30,5775
States,New Jersey,2010,44,X,1.82877,X,X,X,X,X,X,113,25,6179
States,New Mexico,2010,44,X,2.37983,X,X,X,X,X,X,151,20,6345
States,New York,2010,44,X,0.527357,X,X,X,X,X,X,80,104,15170
States,North Carolina,2010,44,X,0.649925,X,X,X,X,X,X,169,70,26003
States,North Dakota,2010,44,X,0.713749,X,X,X,X,X,X,38,19,5324
States,Ohio,2010,44,X,0.831798,X,X,X,X,X,X,149,48,17913
States,Oklahoma,2010,44,X,1.62845,X,X,X,X,X,X,49,15,3009
States,Oregon,2010,44,X,0.764895,X,X,X,X,X,X,57,22,7452
States,Pennsylvania,2010,44,X,0.991455,X,X,X,X,X,X,181,66,18256
States,Rhode Island,2010,44,X,0.530256,X,X,X,X,X,X,34,21,6412
States,South Carolina,2010,44,X,0.44531,X,X,X,X,X,X,32,22,7186
States,South Dakota,2010,44,X,0.779833,X,X,X,X,X,X,43,19,5514
States,Tennessee,2010,44,X,0.528096,X,X,X,X,X,X,64,51,12119
States,Texas,2010,44,X,2.36381,X,X,X,X,X,X,1218,99,51527
States,Utah,2010,44,X,0.651859,X,X,X,X,X,X,54,23,8284
States,Vermont,2010,44,X,1.25276,X,X,X,X,X,X,34,10,2714
States,Virginia,2010,44,X,1.26547,X,X,X,X,X,X,729,84,57607
States,Washington,2010,44,X,0.78637,X,X,X,X,X,X,24,15,3052
States,West Virginia,2010,44,X,1.83986,X,X,X,X,X,X,196,34,10653
States,Wisconsin,2010,44,X,1.09649,X,X,X,X,X,X,60,49,5472
States,Wyoming,2010,44,X,0.566636,X,X,X,X,X,X,25,28,4412
States,New York City,2010,44,X,1.51508,X,X,X,X,X,X,1325,42,87454
States,Alabama,2010,45,X,3.46224,X,X,X,X,X,X,419,34,12102
States,Alaska,2010,45,X,0.951904,X,X,X,X,X,X,19,8,1996
States,Arizona,2010,45,X,0.945337,X,X,X,X,X,X,239,54,25282
States,Arkansas,2010,45,X,1.19736,X,X,X,X,X,X,58,17,4844
States,California,2010,45,X,2.74562,X,X,X,X,X,X,906,126,32998
States,Colorado,2010,45,X,0.719015,X,X,X,X,X,X,139,12,19332
States,Connecticut,2010,45,X,0.319562,X,X,X,X,X,X,14,19,4381
States,Delaware,2010,45,X,0.79466,X,X,X,X,X,X,25,12,3146
States,District of Columbia,2010,45,X,2.32951,X,X,X,X,X,X,69,4,2962
States,Florida,2010,45,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,45,X,3.41305,X,X,X,X,X,X,1390,62,40726
States,Hawaii,2010,45,X,1.17429,X,X,X,X,X,X,19,18,1618
States,Idaho,2010,45,X,1.49434,X,X,X,X,X,X,62,13,4149
States,Illinois,2010,45,X,1.55392,X,X,X,X,X,X,651,80,41894
States,Indiana,2010,45,X,0.752055,X,X,X,X,X,X,97,43,12898
States,Iowa,2010,45,X,0.41866,X,X,X,X,X,X,21,10,5016
States,Kansas,2010,45,X,0.724993,X,X,X,X,X,X,74,43,10207
States,Kentucky,2010,45,X,0.222995,X,X,X,X,X,X,34,15,15247
States,Louisiana,2010,45,X,2.08577,X,X,X,X,X,X,463,44,22198
States,Maine,2010,45,X,0.356622,X,X,X,X,X,X,22,31,6169
States,Maryland,2010,45,X,1.42159,X,X,X,X,X,X,128,21,9004
States,Massachusetts,2010,45,X,0.732931,X,X,X,X,X,X,187,54,25514
States,Michigan,2010,45,X,0.806639,X,X,X,X,X,X,139,53,17232
States,Minnesota,2010,45,X,0.82012,X,X,X,X,X,X,45,16,5487
States,Mississippi,2010,45,X,3.93095,X,X,X,X,X,X,649,44,16510
States,Missouri,2010,45,X,1.22374,X,X,X,X,X,X,106,31,8662
States,Montana,2010,45,X,0.243902,X,X,X,X,X,X,6,6,2460
States,Nebraska,2010,45,X,2.96108,X,X,X,X,X,X,105,16,3546
States,Nevada,2010,45,X,0.805239,X,X,X,X,X,X,75,33,9314
States,New Hampshire,2010,45,X,0.304414,X,X,X,X,X,X,16,29,5256
States,New Jersey,2010,45,X,2.2031,X,X,X,X,X,X,169,25,7671
States,New Mexico,2010,45,X,2.3776,X,X,X,X,X,X,186,24,7823
States,New York,2010,45,X,0.504756,X,X,X,X,X,X,78,105,15453
States,North Carolina,2010,45,X,0.476862,X,X,X,X,X,X,115,72,24116
States,North Dakota,2010,45,X,0.75811,X,X,X,X,X,X,43,18,5672
States,Ohio,2010,45,X,0.51801,X,X,X,X,X,X,86,44,16602
States,Oklahoma,2010,45,X,2.57453,X,X,X,X,X,X,76,16,2952
States,Oregon,2010,45,X,0.775305,X,X,X,X,X,X,54,20,6965
States,Pennsylvania,2010,45,X,1.03377,X,X,X,X,X,X,184,63,17799
States,Rhode Island,2010,45,X,0.477403,X,X,X,X,X,X,30,21,6284
States,South Carolina,2010,45,X,0.5111,X,X,X,X,X,X,32,21,6261
States,South Dakota,2010,45,X,0.743424,X,X,X,X,X,X,39,18,5246
States,Tennessee,2010,45,X,0.593704,X,X,X,X,X,X,76,53,12801
States,Texas,2010,45,X,2.51778,X,X,X,X,X,X,1310,97,52030
States,Utah,2010,45,X,0.6639,X,X,X,X,X,X,40,16,6025
States,Vermont,2010,45,X,1.12705,X,X,X,X,X,X,33,11,2928
States,Virginia,2010,45,X,1.41165,X,X,X,X,X,X,888,88,62905
States,Washington,2010,45,X,1.06724,X,X,X,X,X,X,40,18,3748
States,West Virginia,2010,45,X,2.06875,X,X,X,X,X,X,201,34,9716
States,Wisconsin,2010,45,X,1.03383,X,X,X,X,X,X,55,46,5320
States,Wyoming,2010,45,X,0.463336,X,X,X,X,X,X,23,27,4964
States,New York City,2010,45,X,1.73829,X,X,X,X,X,X,1557,42,89571
States,Alabama,2010,46,X,3.53248,X,X,X,X,X,X,434,33,12286
States,Alaska,2010,46,X,0.962567,X,X,X,X,X,X,18,7,1870
States,Arizona,2010,46,X,1.09665,X,X,X,X,X,X,284,55,25897
States,Arkansas,2010,46,X,1.55462,X,X,X,X,X,X,74,18,4760
States,California,2010,46,X,2.81963,X,X,X,X,X,X,1020,131,36175
States,Colorado,2010,46,X,0.696032,X,X,X,X,X,X,137,9,19683
States,Connecticut,2010,46,X,0.618847,X,X,X,X,X,X,22,19,3555
States,Delaware,2010,46,X,0.390879,X,X,X,X,X,X,12,11,3070
States,District of Columbia,2010,46,X,1.5844,X,X,X,X,X,X,52,4,3282
States,Florida,2010,46,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,46,X,4.55518,X,X,X,X,X,X,1938,62,42545
States,Hawaii,2010,46,X,1.31204,X,X,X,X,X,X,23,18,1753
States,Idaho,2010,46,X,1.95882,X,X,X,X,X,X,98,13,5003
States,Illinois,2010,46,X,1.63242,X,X,X,X,X,X,661,79,40492
States,Indiana,2010,46,X,0.820837,X,X,X,X,X,X,104,42,12670
States,Iowa,2010,46,X,0.484206,X,X,X,X,X,X,21,9,4337
States,Kansas,2010,46,X,0.595801,X,X,X,X,X,X,63,44,10574
States,Kentucky,2010,46,X,0.46321,X,X,X,X,X,X,78,15,16839
States,Louisiana,2010,46,X,2.81506,X,X,X,X,X,X,539,37,19147
States,Maine,2010,46,X,0.520341,X,X,X,X,X,X,33,31,6342
States,Maryland,2010,46,X,1.50014,X,X,X,X,X,X,156,20,10399
States,Massachusetts,2010,46,X,0.803486,X,X,X,X,X,X,236,51,29372
States,Michigan,2010,46,X,0.655481,X,X,X,X,X,X,109,49,16629
States,Minnesota,2010,46,X,0.702763,X,X,X,X,X,X,44,18,6261
States,Mississippi,2010,46,X,4.46575,X,X,X,X,X,X,764,45,17108
States,Missouri,2010,46,X,1.20367,X,X,X,X,X,X,101,31,8391
States,Montana,2010,46,X,0.10993,X,X,X,X,X,X,3,6,2729
States,Nebraska,2010,46,X,2.42303,X,X,X,X,X,X,85,16,3508
States,Nevada,2010,46,X,2.63276,X,X,X,X,X,X,294,34,11167
States,New Hampshire,2010,46,X,0.279281,X,X,X,X,X,X,16,31,5729
States,New Jersey,2010,46,X,2.13716,X,X,X,X,X,X,158,24,7393
States,New Mexico,2010,46,X,2.87842,X,X,X,X,X,X,228,24,7921
States,New York,2010,46,X,0.503441,X,X,X,X,X,X,79,107,15692
States,North Carolina,2010,46,X,0.484569,X,X,X,X,X,X,122,75,25177
States,North Dakota,2010,46,X,0.644192,X,X,X,X,X,X,30,16,4657
States,Ohio,2010,46,X,0.533199,X,X,X,X,X,X,95,45,17817
States,Oklahoma,2010,46,X,3.35068,X,X,X,X,X,X,103,16,3074
States,Oregon,2010,46,X,0.657895,X,X,X,X,X,X,44,19,6688
States,Pennsylvania,2010,46,X,0.946337,X,X,X,X,X,X,170,60,17964
States,Rhode Island,2010,46,X,0.504177,X,X,X,X,X,X,35,21,6942
States,South Carolina,2010,46,X,0.455927,X,X,X,X,X,X,33,21,7238
States,South Dakota,2010,46,X,1.00136,X,X,X,X,X,X,59,19,5892
States,Tennessee,2010,46,X,0.676526,X,X,X,X,X,X,86,51,12712
